Time,Current,Index
2.149988,-7.07E-10,1
2.150988,-7.07E-10,1
2.151988,-7.07E-10,1
2.152988,-7.06E-10,1
2.153988,-7.06E-10,1
2.154988,-7.06E-10,1
2.155988,-7.05E-10,1
2.156988,-7.05E-10,1
2.157988,-7.04E-10,1
2.158988,-7.04E-10,1
2.159988,-7.03E-10,1
2.160988,-7.02E-10,1
2.161988,-7.01E-10,1
2.162988,-7.00E-10,1
2.163988,-6.99E-10,1
2.164988,-6.98E-10,1
2.165988,-6.97E-10,1
2.166988,-6.96E-10,1
2.167988,-6.95E-10,1
2.168988,-6.94E-10,1
2.169988,-6.93E-10,1
2.170988,-6.92E-10,1
2.171988,-6.90E-10,1
2.172988,-6.89E-10,1
2.173988,-6.88E-10,1
2.174988,-6.86E-10,1
2.175988,-6.85E-10,1
2.176988,-6.83E-10,1
2.177988,-6.82E-10,1
2.178988,-6.80E-10,1
2.179988,-6.78E-10,1
2.180988,-6.77E-10,1
2.181988,-6.75E-10,1
2.182988,-6.73E-10,1
2.183988,-6.71E-10,1
2.184988,-6.69E-10,1
2.185988,-6.67E-10,1
2.186988,-6.66E-10,1
2.187988,-6.64E-10,1
2.188988,-6.62E-10,1
2.189988,-6.60E-10,1
2.190988,-6.57E-10,1
2.191988,-6.55E-10,1
2.192988,-6.53E-10,1
2.193988,-6.51E-10,1
2.194988,-6.49E-10,1
2.195988,-6.47E-10,1
2.196988,-6.45E-10,1
2.197988,-6.43E-10,1
2.198988,-6.41E-10,1
2.199988,-6.38E-10,1
2.200988,-6.36E-10,1
2.201988,-6.34E-10,1
2.202988,-6.32E-10,1
2.203988,-6.30E-10,1
2.204988,-6.28E-10,1
2.205988,-6.26E-10,1
2.206988,-6.24E-10,1
2.207988,-6.21E-10,1
2.208988,-6.19E-10,1
2.209988,-6.17E-10,1
2.210988,-6.15E-10,1
2.211988,-6.13E-10,1
2.212988,-6.10E-10,1
2.213988,-6.08E-10,1
2.214988,-6.06E-10,1
2.215988,-6.04E-10,1
2.216988,-6.01E-10,1
2.217988,-5.99E-10,1
2.218988,-5.97E-10,1
2.219988,-5.95E-10,1
2.220988,-5.92E-10,1
2.221988,-5.90E-10,1
2.222988,-5.88E-10,1
2.223988,-5.86E-10,1
2.224988,-5.84E-10,1
2.225988,-5.82E-10,1
2.226988,-5.79E-10,1
2.227988,-5.77E-10,1
2.228988,-5.75E-10,1
2.229988,-5.72E-10,1
2.230988,-5.70E-10,1
2.231988,-5.68E-10,1
2.232988,-5.66E-10,1
2.233988,-5.63E-10,1
2.234988,-5.61E-10,1
2.235988,-5.59E-10,1
2.236988,-5.57E-10,1
2.237988,-5.55E-10,1
2.238988,-5.52E-10,1
2.239988,-5.50E-10,1
2.240988,-5.48E-10,1
2.241988,-5.45E-10,1
2.242988,-5.43E-10,1
2.243988,-5.41E-10,1
2.244988,-5.39E-10,1
2.245988,-5.37E-10,1
2.246988,-5.35E-10,1
2.247988,-5.33E-10,1
2.248988,-5.31E-10,1
2.249988,-5.29E-10,1
2.250988,-5.27E-10,1
2.251988,-5.25E-10,1
2.252988,-5.23E-10,1
2.253988,-5.20E-10,1
2.254988,-5.18E-10,1
2.255988,-5.16E-10,1
2.256988,-5.14E-10,1
2.257988,-5.12E-10,1
2.258988,-5.10E-10,1
2.259988,-5.08E-10,1
2.260988,-5.06E-10,1
2.261988,-5.04E-10,1
2.262988,-5.02E-10,1
2.263988,-5.00E-10,1
2.264988,-4.98E-10,1
2.265988,-4.96E-10,1
2.266988,-4.94E-10,1
2.267988,-4.92E-10,1
2.268988,-4.89E-10,1
2.269988,-4.87E-10,1
2.270988,-4.85E-10,1
