Time,Current,Index
-0.017013,2.00E-12,8
-0.016013,4.43E-12,8
-0.015013,7.07E-12,8
-0.014013,7.93E-12,8
-0.013013,8.57E-12,8
-0.012013,9.00E-12,8
-0.011013,9.32E-12,8
-0.010013,9.32E-12,8
-0.009013,9.22E-12,8
-0.008013,8.79E-12,8
-0.007013,8.04E-12,8
-0.006013,7.07E-12,8
-0.005013,6.10E-12,8
-0.004013,5.57E-12,8
-0.003013,5.35E-12,8
-0.002013,5.14E-12,8
-0.001013,5.35E-12,8
-1.26E-05,5.46E-12,8
0.000987,6.10E-12,8
0.001987,6.64E-12,8
0.002987,7.50E-12,8
0.003987,8.36E-12,8
0.004987,8.79E-12,8
0.005987,9.11E-12,8
0.006987,9.00E-12,8
0.007987,8.89E-12,8
0.008987,8.36E-12,8
0.009987,7.61E-12,8
0.010987,6.64E-12,8
0.011987,5.67E-12,8
0.012987,5.03E-12,8
0.013987,4.60E-12,8
0.014987,4.39E-12,8
0.015987,4.60E-12,8
0.016987,5.14E-12,8
0.017987,5.89E-12,8
0.018987,6.53E-12,8
0.019987,7.39E-12,8
0.020987,8.04E-12,8
0.021987,8.36E-12,8
0.022987,8.36E-12,8
0.023987,8.36E-12,8
0.024987,8.14E-12,8
0.025987,7.61E-12,8
0.026987,6.75E-12,8
0.027987,5.78E-12,8
0.028987,5.03E-12,8
0.029987,4.49E-12,8
0.030987,4.06E-12,8
0.031987,3.96E-12,8
0.032987,4.17E-12,8
0.033987,4.71E-12,8
0.034987,5.24E-12,8
0.035987,6.00E-12,8
0.036987,6.86E-12,8
0.037987,7.39E-12,8
0.038987,7.93E-12,8
0.039987,7.82E-12,8
0.040987,7.61E-12,8
0.041987,6.86E-12,8
0.042987,6.43E-12,8
0.043987,5.46E-12,8
0.044987,4.82E-12,8
0.045987,3.63E-12,8
0.046987,3.10E-12,8
0.047987,2.67E-12,8
0.048987,2.88E-12,8
0.049987,3.53E-12,8
0.050987,3.96E-12,8
0.051987,4.92E-12,8
0.052987,5.57E-12,8
0.053987,6.43E-12,8
0.054987,6.86E-12,8
0.055987,7.18E-12,8
0.056987,6.96E-12,8
0.057987,6.43E-12,8
0.058987,5.67E-12,8
0.059987,5.14E-12,8
0.060987,4.39E-12,8
0.061987,3.53E-12,8
0.062987,2.67E-12,8
0.063987,2.24E-12,8
0.064987,2.13E-12,8
0.065987,2.35E-12,8
0.066987,2.67E-12,8
0.067987,3.42E-12,8
0.068987,4.28E-12,8
0.069987,5.03E-12,8
0.070987,5.57E-12,8
0.071987,5.89E-12,8
0.072987,6.10E-12,8
0.073987,6.00E-12,8
0.074987,5.57E-12,8
0.075987,5.03E-12,8
0.076987,4.06E-12,8
0.077987,3.31E-12,8
0.078987,2.67E-12,8
0.079987,2.13E-12,8
0.080987,1.81E-12,8
0.081987,1.59E-12,8
0.082987,1.81E-12,8
0.083987,2.24E-12,8
0.084987,2.99E-12,8
0.085987,3.85E-12,8
0.086987,4.71E-12,8
0.087987,5.35E-12,8
0.088987,5.78E-12,8
0.089987,5.67E-12,8
0.090987,5.35E-12,8
0.091987,4.92E-12,8
0.092987,4.39E-12,8
0.093987,3.42E-12,8
0.094987,2.67E-12,8
0.095987,1.81E-12,8
0.096987,1.49E-12,8
0.097987,1.16E-12,8
0.098987,1.27E-12,8
0.099987,1.70E-12,8
0.100987,2.24E-12,8
0.101987,2.78E-12,8
0.102987,3.53E-12,8
0.103987,4.28E-12,8
0.104987,5.03E-12,8
0.105987,5.24E-12,8
0.106987,5.24E-12,8
0.107987,4.82E-12,8
0.108987,4.28E-12,8
0.109987,3.53E-12,8
0.110987,2.88E-12,8
0.111987,2.13E-12,8
0.112987,1.49E-12,8
0.113987,1.16E-12,8
0.114987,1.06E-12,8
0.115987,1.16E-12,8
0.116987,1.49E-12,8
0.117987,2.13E-12,8
0.118987,2.99E-12,8
0.119987,3.74E-12,8
0.120987,4.39E-12,8
0.121987,4.82E-12,8
0.122987,4.92E-12,8
0.123987,4.82E-12,8
0.124987,4.71E-12,8
0.125987,4.28E-12,8
0.126987,3.74E-12,8
0.127987,2.78E-12,8
0.128987,2.13E-12,8
0.129987,1.49E-12,8
0.130987,1.27E-12,8
0.131987,1.16E-12,8
0.132987,1.27E-12,8
0.133987,1.92E-12,8
0.134987,2.56E-12,8
0.135987,3.42E-12,8
0.136987,4.06E-12,8
0.137987,4.92E-12,8
0.138987,5.46E-12,8
0.139987,5.46E-12,8
0.140987,5.35E-12,8
0.141987,4.82E-12,8
0.142987,4.39E-12,8
0.143987,3.42E-12,8
0.144987,2.78E-12,8
0.145987,2.02E-12,8
0.146987,1.59E-12,8
0.147987,1.38E-12,8
0.148987,1.49E-12,8
0.149987,1.81E-12,8
0.150987,2.45E-12,8
0.151987,3.20E-12,8
0.152987,4.06E-12,8
0.153987,4.82E-12,8
0.154987,5.24E-12,8
0.155987,5.35E-12,8
0.156987,5.35E-12,8
0.157987,5.35E-12,8
0.158987,5.03E-12,8
0.159987,4.28E-12,8
0.160987,3.53E-12,8
0.161987,2.99E-12,8
0.162987,2.35E-12,8
0.163987,1.92E-12,8
0.164987,1.59E-12,8
0.165987,1.70E-12,8
0.166987,1.92E-12,8
0.167987,2.56E-12,8
0.168987,3.20E-12,8
0.169987,4.17E-12,8
0.170987,4.92E-12,8
0.171987,5.57E-12,8
0.172987,5.78E-12,8
0.173987,5.46E-12,8
0.174987,5.03E-12,8
0.175987,4.28E-12,8
0.176987,3.63E-12,8
0.177987,2.88E-12,8
0.178987,2.02E-12,8
0.179987,1.38E-12,8
0.180987,1.16E-12,8
0.181987,1.27E-12,8
0.182987,1.49E-12,8
0.183987,1.70E-12,8
0.184987,2.45E-12,8
0.185987,3.31E-12,8
0.186987,4.39E-12,8
0.187987,4.92E-12,8
0.188987,5.24E-12,8
0.189987,5.14E-12,8
0.190987,4.92E-12,8
0.191987,4.39E-12,8
0.192987,3.74E-12,8
0.193987,2.78E-12,8
0.194987,2.02E-12,8
0.195987,1.38E-12,8
0.196987,1.06E-12,8
0.197987,8.43E-13,8
0.198987,7.36E-13,8
0.199987,1.06E-12,8
0.200987,1.59E-12,8
0.201987,2.24E-12,8
0.202987,2.99E-12,8
0.203987,3.85E-12,8
0.204987,4.39E-12,8
0.205987,4.49E-12,8
0.206987,4.60E-12,8
0.207987,4.39E-12,8
0.208987,3.96E-12,8
0.209987,3.10E-12,8
0.210987,2.24E-12,8
0.211987,1.59E-12,8
0.212987,9.50E-13,8
0.213987,7.36E-13,8
0.214987,6.28E-13,8
0.215987,8.43E-13,8
0.216987,1.06E-12,8
0.217987,1.59E-12,8
0.218987,2.24E-12,8
0.219987,3.10E-12,8
0.220987,3.74E-12,8
0.221987,4.28E-12,8
0.222987,4.39E-12,8
0.223987,4.39E-12,8
0.224987,4.06E-12,8
0.225987,3.53E-12,8
0.226987,2.56E-12,8
0.227987,1.59E-12,8
0.228987,7.36E-13,8
0.229987,3.06E-13,8
0.230987,9.14E-14,8
0.231987,3.06E-13,8
0.232987,4.13E-13,8
0.233987,8.43E-13,8
0.234987,1.38E-12,8
0.235987,2.24E-12,8
0.236987,2.88E-12,8
0.237987,3.53E-12,8
0.238987,3.96E-12,8
0.239987,4.28E-12,8
0.240987,4.06E-12,8
0.241987,3.20E-12,8
0.242987,2.35E-12,8
0.243987,1.38E-12,8
0.244987,8.43E-13,8
0.245987,4.13E-13,8
0.246987,9.14E-14,8
0.247987,-1.23E-13,8
0.248987,-2.31E-13,8
0.249987,9.14E-14,8
0.250987,7.36E-13,8
0.251987,1.16E-12,8
0.252987,1.92E-12,8
0.253987,2.56E-12,8
0.254987,3.20E-12,8
0.255987,3.53E-12,8
0.256987,3.53E-12,8
0.257987,3.31E-12,8
0.258987,2.67E-12,8
0.259987,1.81E-12,8
0.260987,1.06E-12,8
0.261987,3.06E-13,8
0.262987,-1.23E-13,8
0.263987,-5.53E-13,8
0.264987,-5.53E-13,8
0.265987,-5.53E-13,8
0.266987,-1.23E-13,8
0.267987,5.21E-13,8
0.268987,1.38E-12,8
0.269987,2.13E-12,8
0.270987,2.67E-12,8
0.271987,3.20E-12,8
